iter	Passed	Remaining
0	7	7351
1	12	6269
2	16	5540
3	21	5303
4	26	5215
5	30	5131
6	35	5090
7	40	5006
8	44	4933
9	49	4885
10	53	4821
11	58	4784
12	62	4746
13	66	4714
14	71	4680
15	75	4667
16	80	4655
17	84	4628
18	89	4608
19	93	4590
20	97	4549
21	102	4559
22	107	4548
23	111	4531
24	116	4524
25	120	4516
26	125	4509
27	129	4505
28	134	4507
29	138	4492
30	143	4476
31	148	4485
32	153	4490
33	157	4474
34	162	4467
35	166	4456
36	171	4453
37	175	4441
38	180	4436
39	184	4436
40	188	4417
41	192	4401
42	197	4388
43	201	4372
44	205	4361
45	209	4347
46	213	4331
47	217	4310
48	221	4298
49	225	4283
50	229	4274
51	234	4267
52	238	4254
53	242	4244
54	246	4231
55	250	4219
56	254	4209
57	258	4199
58	262	4181
59	266	4178
60	270	4167
61	274	4156
62	278	4144
63	282	4130
64	285	4112
65	290	4105
66	294	4094
67	298	4090
68	302	4078
69	306	4070
70	310	4063
71	315	4065
72	319	4061
73	326	4088
74	331	4091
75	336	4086
76	340	4077
77	343	4065
78	347	4056
79	352	4048
80	356	4040
81	359	4029
82	363	4020
83	368	4013
84	372	4008
85	376	3997
86	380	3992
87	384	3984
88	389	3981
89	393	3975
90	397	3973
91	402	3967
92	406	3962
93	410	3959
94	415	3954
95	419	3950
96	425	3963
97	431	3968
98	436	3976
99	441	3974
100	446	3974
101	450	3966
102	455	3965
103	460	3964
104	464	3959
105	468	3951
106	472	3944
107	477	3942
108	481	3936
109	485	3931
110	489	3922
111	494	3917
112	498	3912
113	502	3906
114	507	3902
115	510	3893
116	515	3891
117	519	3884
118	523	3877
119	527	3871
120	532	3866
121	536	3862
122	540	3854
123	544	3848
124	548	3840
125	552	3834
126	557	3829
127	561	3824
128	565	3819
129	569	3813
130	574	3809
131	578	3802
132	582	3796
133	586	3788
134	590	3782
135	594	3774
136	598	3769
137	602	3765
138	606	3758
139	611	3755
140	615	3751
141	620	3747
142	623	3739
143	628	3736
144	632	3730
145	636	3725
146	640	3718
147	645	3717
148	649	3710
149	654	3707
150	659	3709
151	664	3704
152	668	3700
153	672	3693
154	676	3687
155	680	3681
156	684	3676
157	688	3669
158	692	3664
159	696	3658
160	701	3654
161	705	3648
162	709	3643
163	713	3638
164	717	3633
165	721	3626
166	726	3623
167	730	3616
168	734	3613
169	739	3608
170	743	3603
171	747	3597
172	751	3592
173	755	3585
174	759	3580
175	763	3574
176	767	3570
177	771	3563
178	776	3559
179	779	3553
180	784	3548
181	788	3543
182	793	3540
183	796	3534
184	801	3529
185	805	3523
186	809	3521
187	813	3515
188	820	3518
189	824	3515
190	829	3513
191	834	3511
192	838	3507
193	843	3503
194	847	3497
195	851	3493
196	855	3489
197	860	3486
198	864	3480
199	869	3476
200	873	3471
201	877	3466
202	881	3460
203	885	3454
204	889	3450
205	893	3444
206	897	3439
207	902	3434
208	906	3428
209	910	3423
210	914	3419
211	918	3412
212	922	3408
213	926	3403
214	930	3398
215	934	3392
216	938	3387
217	943	3382
218	947	3377
219	951	3372
220	955	3367
221	959	3361
222	963	3356
223	967	3350
224	970	3344
225	974	3338
226	978	3332
227	982	3326
228	986	3321
229	990	3315
230	994	3310
231	998	3304
232	1001	3298
233	1005	3293
234	1009	3287
235	1013	3281
236	1017	3276
237	1021	3272
238	1026	3267
239	1029	3261
240	1033	3256
241	1037	3251
242	1041	3245
243	1045	3239
244	1049	3234
245	1053	3229
246	1057	3225
247	1061	3220
248	1065	3214
249	1069	3208
250	1073	3204
251	1077	3197
252	1081	3192
253	1085	3186
254	1089	3182
255	1093	3176
256	1097	3172
257	1101	3168
258	1105	3163
259	1109	3158
260	1113	3153
261	1117	3147
262	1121	3142
263	1125	3136
264	1129	3131
265	1132	3126
266	1137	3122
267	1141	3117
268	1145	3112
269	1149	3106
270	1153	3101
271	1156	3096
272	1161	3092
273	1165	3086
274	1169	3082
275	1173	3077
276	1177	3072
277	1181	3067
278	1185	3062
279	1189	3057
280	1193	3052
281	1196	3047
282	1200	3042
283	1204	3037
284	1209	3034
285	1213	3028
286	1217	3024
287	1221	3019
288	1225	3014
289	1229	3010
290	1233	3005
291	1237	3000
292	1241	2995
293	1245	2990
294	1249	2985
295	1253	2981
296	1257	2976
297	1261	2971
298	1265	2966
299	1269	2961
300	1273	2957
301	1277	2952
302	1281	2947
303	1285	2942
304	1289	2937
305	1293	2933
306	1297	2928
307	1301	2923
308	1305	2918
309	1308	2913
310	1312	2908
311	1317	2904
312	1321	2899
313	1325	2894
314	1329	2891
315	1334	2887
316	1338	2883
317	1342	2878
318	1346	2874
319	1350	2869
320	1353	2863
321	1357	2859
322	1361	2854
323	1365	2849
324	1369	2845
325	1373	2840
326	1377	2835
327	1381	2831
328	1385	2826
329	1389	2821
330	1393	2816
331	1397	2811
332	1401	2807
333	1405	2802
334	1408	2796
335	1412	2792
336	1416	2787
337	1420	2782
338	1424	2777
339	1428	2772
340	1432	2768
341	1437	2765
342	1441	2760
343	1445	2757
344	1450	2753
345	1454	2748
346	1458	2744
347	1462	2740
348	1466	2735
349	1470	2730
350	1474	2726
351	1478	2722
352	1482	2717
353	1486	2712
354	1490	2707
355	1494	2703
356	1498	2699
357	1502	2694
358	1506	2690
359	1510	2685
360	1514	2680
361	1518	2676
362	1522	2671
363	1526	2667
364	1530	2663
365	1534	2658
366	1538	2654
367	1542	2649
368	1546	2644
369	1550	2640
370	1554	2635
371	1558	2631
372	1562	2626
373	1566	2621
374	1569	2616
375	1573	2611
376	1577	2606
377	1581	2602
378	1585	2597
379	1588	2592
380	1592	2587
381	1596	2582
382	1600	2578
383	1604	2573
384	1608	2569
385	1612	2564
386	1616	2559
387	1620	2555
388	1623	2550
389	1627	2545
390	1631	2540
391	1635	2536
392	1638	2531
393	1643	2527
394	1647	2522
395	1650	2518
396	1655	2513
397	1658	2509
398	1663	2505
399	1667	2500
400	1671	2496
401	1675	2491
402	1678	2487
403	1683	2482
404	1686	2478
405	1691	2474
406	1695	2469
407	1699	2465
408	1703	2460
409	1706	2456
410	1711	2452
411	1715	2447
412	1718	2442
413	1722	2438
414	1726	2434
415	1730	2430
416	1734	2425
417	1738	2421
418	1742	2416
419	1746	2412
420	1750	2408
421	1754	2403
422	1758	2399
423	1762	2394
424	1766	2390
425	1770	2386
426	1774	2381
427	1778	2377
428	1782	2372
429	1786	2368
430	1790	2364
431	1795	2360
432	1798	2355
433	1803	2351
434	1807	2347
435	1811	2343
436	1815	2339
437	1820	2335
438	1824	2331
439	1828	2327
440	1832	2323
441	1837	2319
442	1841	2314
443	1844	2310
444	1848	2305
445	1852	2301
446	1856	2297
447	1860	2292
448	1865	2288
449	1869	2284
450	1873	2280
451	1877	2276
452	1882	2272
453	1886	2268
454	1890	2264
455	1894	2260
456	1898	2256
457	1903	2252
458	1908	2249
459	1912	2245
460	1916	2241
461	1921	2237
462	1925	2232
463	1929	2228
464	1933	2224
465	1937	2220
466	1941	2216
467	1945	2211
468	1950	2207
469	1954	2203
470	1958	2199
471	1967	2201
472	2014	2244
473	2024	2246
474	2030	2243
475	2040	2246
476	2045	2243
477	2088	2280
478	2098	2282
479	2108	2284
480	2113	2280
481	2118	2276
482	2122	2272
483	2127	2268
484	2131	2263
485	2135	2258
486	2140	2254
487	2144	2249
488	2149	2245
489	2153	2241
490	2157	2236
491	2161	2231
492	2166	2227
493	2170	2222
494	2174	2218
495	2178	2214
496	2183	2209
497	2187	2204
498	2191	2200
499	2195	2195
500	2199	2191
501	2203	2186
502	2208	2181
503	2212	2177
504	2216	2172
505	2220	2167
506	2224	2163
507	2228	2158
508	2232	2153
509	2236	2148
510	2240	2143
511	2244	2139
512	2248	2134
513	2252	2129
514	2256	2125
515	2260	2120
516	2264	2115
517	2268	2111
518	2272	2106
519	2276	2101
520	2280	2096
521	2284	2092
522	2288	2087
523	2292	2082
524	2296	2078
525	2301	2073
526	2305	2069
527	2309	2064
528	2313	2059
529	2317	2054
530	2321	2050
531	2325	2045
532	2328	2040
533	2332	2035
534	2336	2030
535	2340	2026
536	2344	2021
537	2348	2016
538	2353	2012
539	2357	2008
540	2361	2003
541	2365	1998
542	2369	1994
543	2373	1989
544	2377	1984
545	2381	1980
546	2385	1975
547	2389	1971
548	2393	1966
549	2397	1961
550	2401	1957
551	2405	1952
552	2409	1947
553	2413	1943
554	2417	1938
555	2423	1935
556	2427	1930
557	2431	1925
558	2435	1921
559	2439	1916
560	2443	1911
561	2447	1907
562	2450	1902
563	2454	1897
564	2459	1893
565	2463	1888
566	2467	1884
567	2472	1880
568	2476	1875
569	2480	1871
570	2484	1866
571	2488	1862
572	2492	1857
573	2497	1853
574	2501	1848
575	2505	1844
576	2509	1839
577	2514	1835
578	2518	1830
579	2522	1826
580	2526	1821
581	2530	1817
582	2534	1813
583	2538	1808
584	2543	1804
585	2547	1799
586	2551	1795
587	2556	1791
588	2560	1786
589	2565	1782
590	2569	1778
591	2573	1773
592	2577	1768
593	2581	1764
594	2585	1760
595	2589	1755
596	2594	1751
597	2598	1746
598	2602	1742
599	2606	1737
600	2610	1733
601	2615	1729
602	2619	1724
603	2623	1720
604	2627	1715
605	2632	1711
606	2636	1707
607	2640	1702
608	2645	1698
609	2649	1693
610	2653	1689
611	2657	1685
612	2662	1680
613	2666	1676
614	2670	1671
615	2674	1667
616	2679	1663
617	2683	1658
618	2687	1654
619	2691	1649
620	2695	1645
621	2699	1640
622	2703	1636
623	2707	1631
624	2712	1627
625	2716	1622
626	2720	1618
627	2724	1614
628	2728	1609
629	2732	1604
630	2737	1600
631	2740	1595
632	2745	1591
633	2749	1587
634	2753	1582
635	2757	1578
636	2762	1574
637	2766	1569
638	2770	1565
639	2774	1560
640	2779	1556
641	2783	1552
642	2787	1547
643	2791	1543
644	2795	1538
645	2800	1534
646	2804	1530
647	2808	1525
648	2812	1521
649	2817	1516
650	2821	1512
651	2825	1507
652	2829	1503
653	2833	1499
654	2837	1494
655	2842	1490
656	2846	1485
657	2850	1481
658	2854	1477
659	2859	1473
660	2863	1468
661	2867	1464
662	2871	1459
663	2875	1455
664	2879	1450
665	2883	1446
666	2888	1441
667	2892	1437
668	2896	1433
669	2900	1428
670	2905	1424
671	2909	1420
672	2913	1415
673	2918	1411
674	2922	1406
675	2926	1402
676	2930	1398
677	2935	1393
678	2939	1389
679	2943	1385
680	2947	1380
681	2952	1376
682	2956	1372
683	2960	1367
684	2964	1363
685	2968	1358
686	2973	1354
687	2977	1350
688	2981	1345
689	2986	1341
690	2990	1337
691	2994	1332
692	2998	1328
693	3002	1324
694	3007	1319
695	3011	1315
696	3015	1310
697	3019	1306
698	3024	1302
699	3028	1297
700	3032	1293
701	3036	1289
702	3040	1284
703	3044	1280
704	3048	1275
705	3052	1271
706	3056	1266
707	3060	1262
708	3064	1257
709	3068	1253
710	3072	1248
711	3076	1244
712	3080	1240
713	3084	1235
714	3088	1231
715	3092	1226
716	3096	1222
717	3100	1217
718	3104	1213
719	3108	1208
720	3112	1204
721	3116	1200
722	3120	1195
723	3125	1191
724	3129	1187
725	3133	1182
726	3137	1178
727	3141	1173
728	3146	1169
729	3150	1165
730	3154	1160
731	3158	1156
732	3163	1152
733	3167	1147
734	3171	1143
735	3175	1139
736	3179	1134
737	3183	1130
738	3187	1125
739	3191	1121
740	3196	1117
741	3200	1112
742	3204	1108
743	3208	1104
744	3212	1099
745	3216	1095
746	3220	1090
747	3224	1086
748	3229	1082
749	3233	1077
750	3237	1073
751	3241	1068
752	3244	1064
753	3249	1060
754	3253	1055
755	3256	1051
756	3260	1046
757	3264	1042
758	3268	1037
759	3272	1033
760	3276	1028
761	3280	1024
762	3284	1020
763	3288	1015
764	3292	1011
765	3296	1006
766	3300	1002
767	3303	998
768	3307	993
769	3311	989
770	3315	984
771	3319	980
772	3323	975
773	3327	971
774	3331	967
775	3334	962
776	3338	958
777	3343	953
778	3347	949
779	3350	945
780	3354	940
781	3358	936
782	3362	931
783	3366	927
784	3370	923
785	3374	918
786	3378	914
787	3382	910
788	3386	905
789	3390	901
790	3394	896
791	3397	892
792	3401	888
793	3405	883
794	3410	879
795	3414	875
796	3418	870
797	3423	866
798	3427	862
799	3431	857
800	3435	853
801	3439	849
802	3443	844
803	3447	840
804	3452	836
805	3456	832
806	3460	827
807	3465	823
808	3469	819
809	3473	814
810	3477	810
811	3481	806
812	3486	801
813	3490	797
814	3494	793
815	3498	788
816	3503	784
817	3507	780
818	3512	776
819	3516	771
820	3520	767
821	3525	763
822	3529	759
823	3534	754
824	3538	750
825	3543	746
826	3547	742
827	3551	737
828	3556	733
829	3560	729
830	3564	724
831	3568	720
832	3573	716
833	3577	711
834	3581	707
835	3585	703
836	3589	699
837	3593	694
838	3597	690
839	3601	686
840	3605	681
841	3610	677
842	3614	673
843	3618	668
844	3622	664
845	3626	660
846	3630	655
847	3634	651
848	3638	647
849	3642	642
850	3646	638
851	3650	634
852	3654	629
853	3658	625
854	3662	621
855	3666	616
856	3670	612
857	3674	608
858	3678	603
859	3682	599
860	3686	595
861	3690	590
862	3694	586
863	3698	582
864	3702	577
865	3706	573
866	3710	569
867	3715	564
868	3718	560
869	3722	556
870	3726	551
871	3730	547
872	3735	543
873	3739	539
874	3743	534
875	3747	530
876	3751	526
877	3755	521
878	3759	517
879	3763	513
880	3767	508
881	3771	504
882	3775	500
883	3779	495
884	3783	491
885	3787	487
886	3791	483
887	3795	478
888	3799	474
889	3803	470
890	3807	465
891	3811	461
892	3816	457
893	3820	452
894	3824	448
895	3828	444
896	3832	440
897	3836	435
898	3840	431
899	3844	427
900	3848	422
901	3853	418
902	3857	414
903	3861	410
904	3865	405
905	3869	401
906	3873	397
907	3877	392
908	3881	388
909	3885	384
910	3889	380
911	3894	375
912	3898	371
913	3902	367
914	3906	362
915	3910	358
916	3914	354
917	3918	349
918	3922	345
919	3926	341
920	3930	337
921	3934	332
922	3938	328
923	3942	324
924	3945	319
925	3949	315
926	3953	311
927	3958	307
928	3962	302
929	3966	298
